appId,title,clusterLabel,clusterWeight,facebook_bart-large-mnli,roberta-large-mnli,valhalla_distilbart-mnli-12-9,cannabis,marijuana,hemp,weed,dispensary
com.upjers.molehillempire2,Molehill Empire 2,0,0.31708185053380783,0.442727267742157,0.5344225168228149,0.43641397356987,0,0,0,0,0
com.rodolfogs.nextdooralerts,Freebie Alerts: Free Stuff App,0,0.31708185053380783,0.1878349334001541,0.44455769658088684,0.509759783744812,0,0,0,0,0
app.theatr,Theatr,0,0.31708185053380783,0.496053546667099,0.3652210831642151,0.36460378766059875,0,0,0,0,0
com.feeberse.mobile.app,Feeberse,0,0.31708185053380783,0.37814798951148987,0.3214553892612457,0.4653722643852234,0,0,0,0,0
uk.gov.hmrc.ptcalc,HMRC,0,0.31708185053380783,0.39511629939079285,0.4639045000076294,0.3940183222293854,0,0,0,0,0
com.achievemint.android,Evidation: Earn Health Rewards,0,0.31708185053380783,0.3324357569217682,0.5090706944465637,0.5056643486022949,0,0,0,0,0
goosecreekco.android.app,Goose Creek Candle,0,0.31708185053380783,0.4163891673088074,0.7780487537384033,0.44515544176101685,0,0,0,0,0
com.mysterytag.cryptominer,Crypto Miner Tycoon,0,0.31708185053380783,0.2871036231517792,0.44040027260780334,0.4296053647994995,0,0,0,0,0
com.commencementbaycannabis.wallet,Commencement Bay Cannabis,1,0.018505338078291814,0.9917418360710144,0.9353486895561218,0.9948645234107971,10,0,0,0,1
com.bloomdispensaries.wallet,Bloom Rewards,1,0.018505338078291814,0.9860334992408752,0.8892652988433838,0.9864025712013245,5,0,0,0,1
com.cannabis.mobile,Cannabis Mobile,1,0.018505338078291814,0.9921285510063171,0.9982359409332275,0.9844436645507812,8,0,0,0,2
com.cannabaze,CannaBaze - cannabis pos,1,0.018505338078291814,0.9820196032524109,0.8164610862731934,0.9764648675918579,6,0,0,0,1
com.thelandingdispensary.wallet,The Landing Dispensary,1,0.018505338078291814,0.9806085228919983,0.998363733291626,0.9874542355537415,1,0,0,0,2
com.blulightdispensary.wallet,BluLight Dispensary,1,0.018505338078291814,0.9927400350570679,0.9760286211967468,0.988774299621582,7,0,0,0,1
com.enlightendispensary.wallet,Enlighten Dispensary,1,0.018505338078291814,0.9924748539924622,0.9861266016960144,0.9914912581443787,3,0,0,0,4
com.plantopiacannabisdispensary.wallet,Plantopia Cannabis Dispensary,1,0.018505338078291814,0.9932776689529419,0.944371223449707,0.9944722652435303,10,0,0,0,5
de.lecturio.android.LecturioMed,Lecturio Medical Education,2,0.15516014234875444,0.809300422668457,0.556501030921936,0.5871726870536804,0,0,0,0,0
com.games2win.weddingdressup,Super Wedding Dress Up Stylist,2,0.15516014234875444,0.615929901599884,0.5563310384750366,0.8130761981010437,0,0,0,0,0
thcm.mistraltecnologia.com,Portal THCM,2,0.15516014234875444,0.6963967680931091,0.8111672401428223,0.6475372314453125,0,0,0,0,0
com.endo45.app,Endometriosis Toolkit: Endo45,2,0.15516014234875444,0.6220389008522034,0.4970037043094635,0.8100139498710632,0,0,0,0,0
com.askdiem.app,Diem: Big Group Chat Energy,2,0.15516014234875444,0.7434114217758179,0.5263828635215759,0.7843723297119141,0,0,0,0,0
com.centelles.josep.macetohuerto,Urban veggie garden,2,0.15516014234875444,0.7037796378135681,0.7269113063812256,0.7571010589599609,0,0,0,0,0
com.sadapay.app,SadaPay: Money made simple,2,0.15516014234875444,0.698875367641449,0.5086994171142578,0.6665008664131165,0,0,0,0,0
com.canablis.paciente,blis: tenha acesso em minutos,2,0.15516014234875444,0.7642375826835632,0.5931951999664307,0.7337198257446289,0,0,0,0,0
nl.lisa_is.hurley,THC Hurley,3,0.055871886120996445,0.9928414225578308,0.9939374923706055,0.9912108778953552,0,0,0,0,0
app.grassandgoodness.catalog,Grass & Goodness,3,0.055871886120996445,0.9859403371810913,0.9768441915512085,0.9868116974830627,0,0,0,0,0
co.shopney.herbanta,Herbanta | هيربانتا,3,0.055871886120996445,0.9162755608558655,0.9723272323608398,0.9275891184806824,0,0,0,0,0
com.starbudsdispensary.wallet,Star Buds Dispensary,3,0.055871886120996445,0.9649600982666016,0.9968914985656738,0.9842791557312012,0,0,0,0,1
com.cargosmart.reefer.shipper,Reefer Assistant,3,0.055871886120996445,0.9752951860427856,0.9945782423019409,0.9845591187477112,0,0,0,0,0
com.nabawiherba.android,Nabawi Herba,3,0.055871886120996445,0.9792966246604919,0.983769416809082,0.9896043539047241,0,0,0,0,0
ca.lbcstudios.hempiretycoon,Hempire Tycoon,3,0.055871886120996445,0.9964533448219299,0.9920668005943298,0.9970437288284302,0,0,0,0,0
com.tapmango.herbnlegend,Herb N Legend,3,0.055871886120996445,0.9493575692176819,0.9834047555923462,0.962699830532074,0,0,0,0,0
com.sana.healthcare.patient,Script Assist,4,0.04875444839857651,0.9922114610671997,0.9891382455825806,0.9894711375236511,5,0,0,0,0
com.mascotascbd.app,Mascotas CBD,4,0.04875444839857651,0.9650005102157593,0.9019476175308228,0.9793494939804077,2,0,2,0,0
com.supapass.android.player.cannabisradio,Cannabis Radio Podcast Network,4,0.04875444839857651,0.9772982597351074,0.9475990533828735,0.9694519639015198,6,0,3,0,0
com.teambridge.hemp,Hemp Temps,4,0.04875444839857651,0.9944853186607361,0.9981289505958557,0.9968206882476807,2,0,2,0,0
co.wholesome.uintah,WholesomeCo,4,0.04875444839857651,0.9709269404411316,0.9976982474327087,0.9836100339889526,2,0,0,0,0
com.GrowAppCannabisGuide,GrowApp | Cannabis Guide,4,0.04875444839857651,0.9961426854133606,0.9484909176826477,0.9816893339157104,3,0,0,0,0
com.smoaklandmd.smoakland,Smoakland Cannabis Delivery,4,0.04875444839857651,0.9963974356651306,0.9985405802726746,0.9960271120071411,4,0,0,0,0
com.thestrainapp.greengrowers,Green Growers,4,0.04875444839857651,0.9950029850006104,0.997590184211731,0.9972836971282959,2,0,0,0,0
com.inmobi.weather,Weather,5,0.024199288256227757,0.4343458414077759,0.5151124596595764,0.40428686141967773,0,0,0,1,0
com.htec.gardenize,Gardenize: Garden & Plant care,5,0.024199288256227757,0.7433512210845947,0.47425591945648193,0.8472431898117065,0,0,0,1,0
com.ikeyboard.theme.luminous.smoke.weed,Luminous Smoke Weed Keyboard T,5,0.024199288256227757,0.7378511428833008,0.5260531306266785,0.8121076226234436,0,0,0,23,0
com.ikeyboard.theme.neon.blue.weed,Neon Blue Weed Keyboard Theme,5,0.024199288256227757,0.5238253474235535,0.5686030387878418,0.8254599571228027,0,0,0,17,0
com.ikeyboard.theme.neon.drip.weed,Neon Drip Weed Keyboard Backgr,5,0.024199288256227757,0.810500979423523,0.551696240901947,0.8081083297729492,0,0,0,14,0
io.ludum.wfstreets,Weed Street,5,0.024199288256227757,0.9822021722793579,0.7590969204902649,0.9642283916473389,0,1,1,8,0
com.beermatsoftwarellc.dopewarsfree,Dope Wars (Weed Edition) Lite,5,0.024199288256227757,0.989896297454834,0.9360331296920776,0.987717866897583,0,0,0,2,0
com.ikeyboard.theme.reggae.rasta.weed,Reggae Rasta Weed Theme,5,0.024199288256227757,0.6960344910621643,0.5731363892555237,0.8856043815612793,0,0,0,8,0
com.Deox.MatchThree,"Puzzle Weed Story: ""Wake&Bake""",6,0.013523131672597865,0.9871389865875244,0.8438551425933838,0.9870316386222839,3,0,0,6,0
com.weedmaps.app.android,Weedmaps: Buy Local Weed,6,0.013523131672597865,0.9845141172409058,0.9012423157691956,0.9448241591453552,13,2,1,4,2
io.portal420.app,420Portal: Weed & Dispensaries,6,0.013523131672597865,0.9973288774490356,0.997011125087738,0.9957799315452576,4,3,0,1,0
com.weedtv,Weed TV: Good Vibes,6,0.013523131672597865,0.956249475479126,0.8263644576072693,0.9448204040527344,6,0,0,3,0
com.triactivemedia.weedworld,Weed World Magazine,6,0.013523131672597865,0.960188090801239,0.7781851887702942,0.9819238185882568,1,3,0,5,0
com.LDRLY.budmatch,Bud Farm: Munchie Match,6,0.013523131672597865,0.9794337153434753,0.6869141459465027,0.9949666261672974,2,1,0,9,0
com.ifeanyi.grounded,Grounded - Quit Weed Tracker,6,0.013523131672597865,0.9911667704582214,0.733670175075531,0.9831916689872742,9,3,1,19,0
de.weed.app,"Weed.de: Cannabis Medizin, CBD",6,0.013523131672597865,0.9879233241081238,0.8872179388999939,0.975502073764801,16,0,0,7,0
com.microsoft.office.word,Microsoft Word: Edit Documents,7,0.36690391459074734,0.631496787071228,0.5347290635108948,0.6048955917358398,0,0,0,0,0
com.amazon.kindle,Amazon Kindle,7,0.36690391459074734,0.5540812015533447,0.5929278135299683,0.7050646543502808,0,0,0,0,0
com.tandd.android.thermoweb,T&D Thermo,7,0.36690391459074734,0.5587431192398071,0.5307337045669556,0.5612573027610779,0,0,0,0,0
com.vng.farm.skygarden,Farming Paradise - Sky Garden,7,0.36690391459074734,0.5983551740646362,0.5718516111373901,0.605884313583374,0,0,0,0,0
com.gameisart.witchspotionshop,Witch's Potion Shop,7,0.36690391459074734,0.5113953948020935,0.8613031506538391,0.541819155216217,0,0,0,0,0
com.ubisoft.dragonfire,South Park: Phone Destroyer™,7,0.36690391459074734,0.6033937335014343,0.5224599242210388,0.6002737283706665,0,0,0,0,0
com.waze,Waze Navigation & Live Traffic,7,0.36690391459074734,0.36819708347320557,0.43454813957214355,0.5874926447868347,0,0,0,0,0
com.cookapps.taileddemonslayer,TailedDemonSlayer - Idle RPG,7,0.36690391459074734,0.5889914631843567,0.5934605002403259,0.44751793146133423,0,0,0,0,0
